"Code point","Rank 1","Rank 2","Unicode name","WP43 usage","Glyph","Replacement","Code point"
"U+00d2",236,243,"LATIN CAPITAL LETTER O WITH GRAVE","O grave","Ò","O","U+004F"
"U+00d3",236,245,"LATIN CAPITAL LETTER O WITH ACUTE","O accute","Ó","O","U+004F"
"U+00d4",236,247,"LATIN CAPITAL LETTER O WITH CIRCUMFLEX","O circumflex","Ô","O","U+004F"
"U+00d5",236,249,"LATIN CAPITAL LETTER O WITH TILDE","O tilde","Õ","O","U+004F"
"U+00d6",236,251,"LATIN CAPITAL LETTER O WITH DIAERESIS","O diaresis","Ö","O","U+004F"
"U+00d7",476,476,"MULTIPLICATION SIGN","Cross","×","×","U+00d7"
"U+00d8",236,253,"LATIN CAPITAL LETTER O WITH STROKE","O stroke","Ø","O","U+004F"
"U+00d9",309,315,"LATIN CAPITAL LETTER U WITH GRAVE","U grave","Ù","U","U+0055"
"U+00da",309,317,"LATIN CAPITAL LETTER U WITH ACUTE","U accute","Ú","U","U+0055"
"U+00db",309,319,"LATIN CAPITAL LETTER U WITH CIRCUMFLEX","U circumflex","Û","U","U+0055"
"U+00dc",309,321,"LATIN CAPITAL LETTER U WITH DIAERESIS","U diaresis","Ü","U","U+0055"
"U+00dd",357,363,"LATIN CAPITAL LETTER Y WITH ACUTE","Y accute","Ý","Y","U+0059"
"U+00df",285,297,"LATIN SMALL LETTER SHARP S","sz","ß","S","U+0053"
"U+00e0",63,70,"LATIN SMALL LETTER A WITH GRAVE","a grave","à","A","U+0041"
"U+00e1",63,72,"LATIN SMALL LETTER A WITH ACUTE","a accute","á","A","U+0041"
"U+00e2",63,74,"LATIN SMALL LETTER A WITH CIRCUMFLEX","a circumflex","â","A","U+0041"
"U+00e3",63,76,"LATIN SMALL LETTER A WITH TILDE","a tilde","ã","A","U+0041"
"U+00e4",63,78,"LATIN SMALL LETTER A WITH DIAERESIS","a diaresis","ä","A","U+0041"
"U+00e5",63,80,"LATIN SMALL LETTER A WITH RING ABOVE","a ring","å","A","U+0041"
